,Unnamed: 0,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
894,894,True,False,0,False,0,True
958,958,False,True,0,False,1,False
1001,1001,True,False,0,False,0,True
1036,1036,False,True,0,False,0,False
1058,1058,True,False,0,False,0,True
1059,1059,True,False,0,True,1,True
1104,1104,True,False,0,False,1,True
1161,1161,False,True,0,True,2,False
1165,1165,True,False,0,False,0,True
1378,1378,True,False,0,False,0,True
1380,1380,True,False,0,False,0,True
1450,1450,False,True,6,False,0,True
1451,1451,False,True,0,False,0,False
1543,1543,True,False,0,False,0,True
1819,1819,False,True,0,False,1,False
1860,1860,True,False,0,False,0,True
1979,1979,True,False,0,True,1,True
1999,1999,True,False,0,False,0,True
2112,2112,True,False,0,False,0,True
2361,2361,False,True,0,True,1,False
2414,2414,False,True,0,True,1,False
2542,2542,False,True,0,True,2,False
2597,2597,True,False,0,False,0,True
2608,2608,False,True,0,False,0,False
2665,2665,True,False,0,False,1,True
2711,2711,True,False,0,False,0,True
2783,2783,True,False,0,False,0,True
2804,2804,True,False,0,False,0,True
2871,2871,False,True,0,False,0,False
3132,3132,False,True,0,False,1,False
3186,3186,True,False,0,False,0,True
3267,3267,True,False,0,True,1,True
3520,3520,False,True,0,True,2,False
3544,3544,True,False,0,False,0,True
3594,3594,True,False,0,False,0,True
3597,3597,True,False,0,False,1,True
3603,3603,False,True,0,False,0,False
3609,3609,False,True,6,True,1,False
3653,3653,True,False,0,False,0,True
3709,3709,True,False,0,False,0,True
3713,3713,False,True,0,False,0,False
3730,3730,False,True,0,False,0,True
3741,3741,True,False,0,False,0,True
3751,3751,True,False,0,False,0,True
3759,3759,True,False,0,False,0,True
3914,3914,True,False,0,False,0,True
3964,3964,False,True,0,False,1,False
3994,3994,True,False,0,False,0,True
4000,4000,True,False,6,False,0,True
4015,4015,False,True,0,False,0,False
4046,4046,False,True,0,True,2,False
4059,4059,False,True,0,False,0,True
4091,4091,True,False,0,True,1,True
4182,4182,True,False,0,False,0,True
4198,4198,False,True,0,False,1,False
4268,4268,True,False,0,False,0,True
4286,4286,True,False,0,False,1,True
4348,4348,False,True,0,False,0,False
4396,4396,False,True,0,False,1,False
4419,4419,True,False,0,False,0,True
4495,4495,True,False,0,False,0,True
4503,4503,False,True,0,False,0,False
5350,5350,False,True,0,False,0,False
5452,5452,True,False,0,False,0,True
5499,5499,False,True,0,False,1,False
5564,5564,True,False,0,False,0,True
5715,5715,False,True,0,True,2,False
5736,5736,True,False,0,False,0,True
5767,5767,True,False,0,False,1,True
5885,5885,False,True,0,False,0,False
6151,6151,True,False,0,False,0,True
6253,6253,True,False,0,False,0,True
6276,6276,False,True,0,False,0,True
6283,6283,True,False,0,False,0,True
6302,6302,True,False,0,False,0,True
6486,6486,False,True,0,True,1,True
6503,6503,True,False,0,True,1,True
6562,6562,False,True,0,False,1,False
6609,6609,False,True,0,True,1,True
6693,6693,False,True,0,True,1,False
6895,6895,False,True,0,True,2,False
6959,6959,False,True,0,False,0,False
7489,7489,False,True,0,True,2,False
7518,7518,False,True,0,False,1,False
7573,7573,False,True,0,False,1,False
7612,7612,False,True,0,False,1,True
8552,8552,False,True,0,False,0,True
8634,8634,False,True,0,False,0,True
8704,8704,True,False,0,False,0,True
8796,8796,True,False,0,False,1,True
8888,8888,True,False,0,False,0,True
8945,8945,True,False,0,False,0,True
9141,9141,True,False,0,False,0,True
9143,9143,True,False,0,False,0,True
9201,9201,False,True,0,False,0,True
9501,9501,False,True,0,False,0,True
9625,9625,False,True,0,False,0,True
9713,9713,True,False,0,False,1,True
9832,9832,True,False,0,False,0,True
9847,9847,False,True,0,False,0,True
9931,9931,True,False,0,False,0,True
10151,10151,False,True,0,True,1,False
10198,10198,False,True,0,True,1,False
10406,10406,True,False,0,False,0,True
10448,10448,True,False,0,False,0,True
10517,10517,True,False,0,False,0,True
10537,10537,True,False,0,False,0,True
10660,10660,False,True,0,False,0,True
10948,10948,True,False,0,False,1,True
11155,11155,False,True,0,False,0,True
11249,11249,True,False,0,False,0,True
11293,11293,True,False,0,False,0,True
11296,11296,True,False,0,False,0,True
11306,11306,False,True,6,True,2,False
11337,11337,True,False,0,False,0,True
11384,11384,True,False,0,False,0,True
11402,11402,False,True,0,False,0,True
11413,11413,True,False,0,False,0,True
11480,11480,False,True,0,False,0,True
11652,11652,True,False,0,False,0,True
11723,11723,True,False,0,False,0,True
11728,11728,True,False,0,False,1,True
11779,11779,False,True,0,False,0,True
11885,11885,True,False,0,False,0,True
11901,11901,False,True,0,False,1,False
11963,11963,True,False,0,False,0,True
