,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
26036,False,False,0,False,1,False
26319,False,True,0,True,2,False
26356,False,True,0,False,0,True
26451,False,True,0,True,1,False
26463,True,False,0,False,0,True
26466,True,False,0,False,0,True
26494,True,False,0,False,0,True
26533,True,False,0,False,0,True
26546,False,True,0,False,0,True
26755,False,False,0,False,0,False
26767,True,False,0,False,0,True
26793,False,False,0,False,1,False
26901,False,True,0,True,1,True
27122,False,True,0,False,0,True
27331,True,False,0,False,0,True
27531,False,False,0,False,1,False
27634,False,True,0,True,1,True
28345,False,False,0,False,0,False
28364,False,False,0,False,1,False
28444,False,True,0,True,1,True
28487,False,True,0,False,0,True
28763,True,False,0,False,0,True
28784,True,False,0,False,0,True
29046,True,False,0,False,0,True
29108,True,False,0,False,0,True
29123,False,True,0,False,0,True
29272,False,True,0,True,1,False
29274,False,True,0,True,1,True
29564,False,False,0,False,0,False
29611,False,True,0,False,1,False
29780,False,True,0,False,2,False
30277,False,True,0,True,2,False
30381,False,True,0,False,1,False
31510,False,False,0,False,1,False
31526,False,False,0,False,1,False
31532,False,True,0,True,2,True
31589,False,True,0,True,1,True
31624,False,True,0,False,0,True
31843,True,False,0,False,0,True
31978,True,False,0,False,0,True
32263,True,False,0,False,0,True
32379,False,False,0,False,1,False
32412,False,False,0,False,1,False
32419,True,False,0,False,0,True
32601,False,True,0,False,0,True
32677,False,True,0,True,1,True
32894,False,True,0,True,2,True
32951,False,True,0,True,2,False
33287,True,False,0,False,0,True
33597,False,False,0,False,1,False
33678,False,True,0,True,1,True
33705,False,False,0,False,1,False
33891,False,True,0,False,0,True
33948,False,True,0,True,2,False
33962,False,True,0,True,2,True
33984,False,True,0,False,0,True
34055,False,True,0,True,0,False
34067,True,False,0,False,0,True
34070,True,False,0,False,0,True
34091,True,False,0,False,0,True
34125,True,False,0,False,0,True
34230,True,False,0,False,0,True
34416,False,False,0,False,1,False
34427,True,False,0,False,0,True
34434,False,True,0,False,2,False
34451,False,False,0,False,1,False
34543,False,True,0,True,1,True
34809,False,True,0,True,2,True
34899,True,False,0,False,0,True
35157,False,False,0,True,1,False
35501,False,True,0,True,2,True
35827,False,True,0,False,0,True
35948,False,True,0,True,2,True
35982,False,False,0,False,1,False
36000,False,False,0,False,1,False
36067,False,True,0,True,1,True
36103,False,True,0,False,0,True
36349,True,False,0,False,0,True
36368,True,False,0,False,0,True
36602,True,False,0,False,0,True
36655,True,False,0,False,0,True
36709,False,True,0,True,2,True
36842,False,True,0,False,0,True
36976,False,True,0,True,2,True
37053,False,True,0,True,2,False
