,Unnamed: 0,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
15350,15350,False,True,0,False,1,False
15405,15405,False,True,0,False,1,False
15444,15444,False,True,0,False,1,True
16515,16515,True,False,0,False,0,True
16577,16577,False,True,0,False,1,False
16616,16616,True,False,0,False,1,True
16647,16647,False,True,0,False,0,False
16669,16669,True,False,0,False,2,True
16712,16712,True,False,0,False,1,True
16772,16772,True,False,0,False,0,True
16975,16975,True,False,0,False,0,True
16977,16977,True,False,0,False,0,True
17044,17044,False,True,0,False,0,True
17132,17132,True,False,0,False,0,True
17445,17445,False,True,0,False,1,False
17485,17485,True,False,0,False,1,True
17618,17618,True,False,0,False,0,True
17728,17728,True,False,0,False,0,True
17967,17967,False,True,0,True,1,False
18017,18017,False,True,0,True,1,False
18195,18195,True,False,0,False,0,True
18259,18259,True,False,0,False,1,True
18303,18303,True,False,0,False,0,True
18374,18374,True,False,0,False,0,True
18394,18394,True,False,0,False,0,True
18457,18457,False,True,0,False,0,False
18732,18732,False,True,0,False,1,False
18784,18784,True,False,0,False,1,True
19124,19124,True,False,0,False,0,True
19173,19173,True,False,0,False,0,True
19176,19176,True,False,0,False,1,True
19182,19182,False,True,0,False,0,False
19188,19188,False,True,6,True,1,False
19226,19226,True,False,0,False,0,True
19276,19276,True,False,0,False,0,True
19296,19296,False,True,0,False,0,True
19307,19307,True,False,0,False,0,True
19324,19324,True,False,0,False,0,True
19490,19490,True,False,0,False,0,True
19536,19536,False,True,0,False,1,False
19567,19567,True,False,0,False,0,True
19573,19573,True,False,6,False,1,True
19588,19588,False,True,0,False,0,False
19628,19628,False,True,0,False,0,True
19742,19742,True,False,0,False,0,True
19758,19758,False,True,0,False,1,False
19825,19825,True,False,0,False,0,True
19842,19842,True,False,0,False,1,True
19948,19948,False,True,0,False,1,False
19971,19971,True,False,0,False,0,True
20043,20043,True,False,0,False,0,True
20928,20928,False,True,0,False,0,False
21022,21022,True,False,0,False,0,True
21068,21068,False,True,0,False,1,False
21125,21125,True,False,0,False,1,True
21290,21290,True,False,0,False,0,True
21321,21321,True,False,0,False,1,True
21689,21689,True,False,0,False,0,True
21788,21788,True,False,0,False,0,True
21810,21810,False,True,0,False,0,True
21817,21817,True,False,0,False,0,True
21834,21834,True,False,0,False,0,True
21861,21861,False,True,0,True,1,True
22085,22085,False,True,0,True,1,True
22152,22152,False,True,0,False,1,False
22196,22196,False,True,0,True,2,True
22272,22272,False,True,0,True,1,False
22525,22525,False,True,0,False,0,False
23034,23034,False,True,0,True,2,False
23063,23063,False,True,0,False,1,False
23117,23117,False,True,0,False,1,False
23154,23154,False,True,0,False,1,True
24140,24140,False,True,0,False,0,True
24221,24221,True,False,0,False,0,True
24279,24279,False,True,0,False,1,False
24316,24316,True,False,0,False,1,True
24347,24347,False,True,0,False,0,False
24411,24411,True,False,0,False,1,True
24468,24468,True,False,0,False,0,True
24666,24666,True,False,0,False,0,True
24668,24668,True,False,0,False,0,True
24729,24729,False,True,0,False,0,True
25182,25182,True,False,0,False,1,True
25306,25306,True,False,0,False,0,True
25321,25321,False,True,0,False,0,True
25407,25407,True,False,0,False,0,True
25637,25637,False,True,0,True,1,False
25687,25687,False,True,0,True,2,False
25908,25908,True,False,0,False,1,True
25951,25951,True,False,0,False,0,True
26021,26021,True,False,0,False,0,True
26041,26041,True,False,0,False,0,True
26102,26102,False,True,0,False,0,False
26445,26445,True,False,0,False,1,True
26667,26667,False,True,0,False,0,True
26766,26766,True,False,0,False,0,True
26813,26813,True,False,0,False,0,True
26816,26816,True,False,0,False,1,True
26822,26822,False,True,0,False,0,False
26827,26827,False,True,6,True,2,False
26863,26863,True,False,0,False,0,True
26910,26910,True,False,0,False,0,True
26929,26929,False,True,0,False,0,True
26940,26940,True,False,0,False,0,True
26956,26956,True,False,0,False,2,True
27161,27161,True,False,0,False,0,True
27233,27233,True,False,0,False,0,True
27238,27238,True,False,6,False,1,True
27253,27253,False,True,0,False,0,False
27291,27291,False,True,0,False,0,True
27401,27401,True,False,0,False,0,True
27417,27417,False,True,0,False,2,False
27482,27482,True,False,0,False,0,True
27497,27497,True,False,0,False,1,True
27598,27598,False,True,0,False,1,False
27618,27618,True,False,0,False,0,True
28542,28542,False,True,0,False,0,True
28583,28583,False,True,0,False,0,False
28672,28672,True,False,0,False,0,True
28717,28717,False,True,0,False,1,False
28771,28771,True,False,0,False,1,True
28928,28928,True,False,0,False,0,True
28959,28959,True,False,0,False,1,True
29313,29313,True,False,0,False,0,True
29405,29405,True,False,0,False,0,True
29426,29426,False,True,0,False,0,True
29433,29433,True,False,0,False,0,True
29592,29592,False,True,0,True,1,True
29768,29768,False,True,0,True,1,True
29834,29834,False,True,0,False,1,False
29946,29946,False,True,0,True,1,False
30191,30191,False,True,0,False,0,False
30662,30662,False,True,0,True,2,False
30690,30690,False,True,0,False,1,False
30744,30744,False,True,0,False,2,False
